close,high,low,ema_5,open,ma_5,ema_10,ma_10,ma_20,lower_band,upper_band
106583.12,107078.61,105797.41,106505.5895647515,107078.6,106779.446,105947.97061840337,105539.125,105230.24350000001,103110.7121924723,107349.77480752772
105808.36,106648.48,105762.56,106273.17970983434,106583.13,106674.71599999999,105922.58686960275,105651.46200000001,105248.41399999999,103114.94743410169,107381.88056589829
106057.77,106274.9,105688.93,106201.3764732229,105808.36,106521.28,105947.16562058406,105881.43999999999,105274.70300000001,103113.74329124397,107435.66270875605
105815.99,106301.59,105721.39,106072.91431548193,106057.78,106268.768,105923.31550775058,106097.43699999999,105336.2365,103187.88031754192,107484.59268245808
106058.66,106064.0,105480.02,106068.16287698798,105816.0,106064.78,105947.92359725047,106312.501,105410.05549999999,103269.33386682195,107550.77713317802
105856.51,106244.4,105657.34,105997.61191799199,106058.65,105919.45800000001,105931.30294320492,106349.452,105468.57350000001,103347.2745634121,107589.87243658793
106376.0,106469.29,105744.62,106123.74127866133,105856.51,106032.986,106012.1569535313,106353.851,105535.97350000001,103388.12114590287,107683.82585409714
106269.14,106590.55,106197.74,106172.20751910756,106376.01,106075.26000000001,106058.88114379834,106298.26999999999,105591.93149999999,103428.16541571412,107755.69758428587
106866.49,107000.0,106240.5,106403.63501273838,106269.15,106285.36000000002,106205.71911765318,106277.06400000001,105685.6165,103469.45867410532,107901.77432589469
106500.77,106866.5,106412.99,106436.0133418256,106866.5,106373.782,106259.36473262533,106219.281,105783.883,103608.54845508066,107959.21754491935
106817.43,106823.28,106448.0,106563.15222788374,106500.77,106565.96599999999,106360.83114487526,106242.71200000001,105890.9185,103734.37841807771,108047.45858192228
106549.98,106845.0,106368.45,106558.76148525582,106817.44,106600.76199999999,106395.22184580703,106316.874,105984.16799999999,103886.70846035548,108081.6275396445
106805.75,107143.29,106478.0,106641.09099017055,106549.99,106708.084,106469.86332838755,106391.67199999999,106136.55600000001,104292.55948691521,107980.55251308481
107406.61,107550.02,106753.53,106896.26399344704,106805.75,106816.10800000001,106640.18090504436,106550.73399999998,106324.0855,104808.67921683665,107839.49178316335
107306.03,107474.1,107130.0,107032.85266229803,107406.61,106977.16,106761.24437685446,106675.47099999999,106493.986,105422.07812225392,107565.89387774609
107209.67,107343.82,106897.44,107091.79177486536,107306.03,107055.60800000001,106842.77630833545,106810.78700000001,106580.1195,105574.0862208087,107586.1527791913
106808.31,107329.49,106708.86,106997.29784991025,107209.67,107107.274,106836.5097068199,106854.018,106603.9345,105600.08312178949,107607.78587821052
107136.01,107177.55,106534.29,107043.5352332735,106808.31,107173.326,106890.9643055799,106940.705,106619.4875,105591.86099396297,107647.11400603704
107298.42,107620.09,106981.06,107128.49682218235,107136.01,107151.688,106965.04715911082,106983.898,106630.481,105577.77811890353,107683.18388109647
108258.39,108353.0,107056.13,107505.12788145492,107298.42,107342.16,107200.20040290884,107159.66,106689.47050000001,105420.9402445849,107958.00075541512
106478.47,108258.38,105725.99,107162.90858763662,108258.38,107195.92,107068.97669328905,107125.764,106684.23800000001,105413.00022826837,107955.47577173165
107075.72,107100.86,106148.0,107133.84572509109,106478.48,107249.402,107070.20274905468,107178.33799999999,106747.606,105535.21368810051,107959.99831189949
107506.37,107617.12,106713.96,107258.02048339407,107075.73,107323.474,107149.50588559019,107248.4,106820.036,105608.08421938228,108031.98778061771
106551.89,107633.0,106410.55,107022.64365559605,107506.37,107174.16799999999,107040.84845184651,107162.928,106856.831,105731.65075434328,107982.01124565673
106475.89,106986.44,106216.06,106840.39243706405,106551.89,106817.66799999999,106938.12873332897,107079.91399999999,106877.6925,105800.36829659784,107955.01670340217
106732.98,106903.99,106156.22,106804.58829137604,106475.89,106868.56999999999,106900.82896363278,107032.245,106921.51599999999,105953.31654657311,107889.71545342686
106411.54,106799.18,106236.53,106673.57219425071,106732.98,106735.73400000001,106811.86733388135,106992.568,106923.29299999999,105959.18741259442,107887.39858740557
105972.01,106419.38,105321.49,106439.71812950047,106411.53,106428.86200000001,106659.16600044837,106876.16799999999,106908.4365,105894.042005032,107922.830994968
106133.74,106350.01,105550.0,106337.72541966698,105972.0,106345.232,106563.63400036684,106759.7,106871.799,105799.73449493202,107943.86350506797
106098.93,106460.0,105620.03,106258.12694644467,106133.74,106269.84,106479.1423639365,106543.754,106851.70699999998,105736.18294166717,107967.23105833279
105332.84,106524.98,104942.32,105949.69796429644,106098.92,105989.81199999999,106270.72375231166,106429.19099999999,106777.4775,105471.10020139524,108083.85479860475
105312.91,105651.88,105016.0,105737.43530953096,105335.23,105770.08600000001,106096.5757973459,106252.90999999999,106715.624,105255.76542283526,108175.48257716473
104763.98,105331.63,104581.58,105412.95020635398,105312.9,105528.48000000001,105854.28565237392,105978.671,106613.5355,104914.27938222734,108312.79161777266
