open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,average_price,price_change
3362.59,3362.59,3335.0,3359.37,8374.6891,28030257.908291,60169,3872.2257,12962440.610887,3348.795,-3.2200000000002547
3359.36,3368.35,3341.66,3350.27,6528.2234,21911958.025245,60173,3122.2988,10479499.817648,3355.005,-9.090000000000146
3350.27,3361.59,3326.41,3340.44,10404.9137,34801570.577978,71222,4562.6576,15267048.963516,3344.0,-9.829999999999927
3340.44,3366.62,3326.17,3356.48,12126.3095,40567734.565072,92771,6758.9376,22616938.608448,3346.395,16.039999999999964
3356.48,3391.8,3347.77,3385.59,15888.875,53608030.450712,116837,9815.2973,33113053.126377,3369.785,29.110000000000127
3385.59,3437.59,3383.64,3421.02,26768.4926,91403785.542382,184044,15729.1509,53706109.920695,3410.615,35.429999999999836
3421.01,3426.48,3404.49,3417.21,10430.649,35606665.320172,95393,6099.7243,20822037.538906,3415.4849999999997,-3.800000000000182
3417.2,3425.0,3403.52,3403.76,10544.2066,35999738.836527,62204,5198.8873,17750938.047311,3414.26,-13.4399999999996
3403.75,3417.68,3391.2,3391.6,10641.7076,36230638.869305,56629,5221.7388,17779328.26828,3404.4399999999996,-12.150000000000091
3391.6,3409.6,3388.6,3408.56,8193.6468,27849900.281736,67300,5445.3417,18509028.896991,3399.1,16.960000000000036
3408.55,3431.25,3407.08,3431.25,14354.1947,49142828.871851,74297,8417.8346,28818817.054517,3419.165,22.699999999999818
3431.24,3432.65,3409.44,3427.0,16235.0473,55540909.793565,69202,7908.5094,27056466.833913,3421.045,-4.239999999999782
3427.01,3434.35,3412.83,3422.1,15974.2326,54694865.723569,69026,8491.466,29074571.001617,3423.59,-4.910000000000309
3422.1,3427.91,3412.75,3421.6,8601.182,29423318.592559,66928,3810.957,13037374.22048,3420.33,-0.5
3421.6,3427.99,3411.73,3412.42,6997.3127,23937465.616643,46635,3766.0684,12883722.812961,3419.8599999999997,-9.179999999999836
3412.42,3424.8,3395.05,3424.13,10201.055,34793700.656263,68256,5528.8857,18857214.25086,3409.925,11.710000000000036
3424.12,3430.2,3403.72,3409.01,8341.2076,28521735.529463,67780,4134.0463,14137820.143539,3416.96,-15.109999999999673
3409.0,3413.0,3330.39,3336.84,31498.8417,105892309.160624,184925,12642.091,42503910.325586,3371.6949999999997,-72.15999999999985
3336.89,3352.64,3310.0,3315.54,30471.8646,101478906.068027,203991,14174.9244,47210840.914216,3331.3199999999997,-21.34999999999991
3315.57,3343.98,3305.0,3324.16,33692.2557,111895771.00334,247398,16443.9581,54622271.911648,3324.49,8.58999999999969
3324.16,3341.92,3317.5,3339.89,16076.5829,53561006.469265,113525,8107.0034,27010496.011908,3329.71,15.730000000000018
3339.89,3408.56,3333.0,3391.27,25912.6658,87359521.277183,186555,12734.956,42961968.509159,3370.7799999999997,51.38000000000011
3391.24,3405.0,3382.67,3396.52,20415.4558,69354149.239994,150153,11370.7642,38628134.18351,3393.835,5.2800000000002
3396.52,3407.6,3388.32,3401.93,11570.1986,39342588.527279,91293,6937.6816,23593881.265937,3397.96,5.4099999999998545
3401.93,3419.0,3396.58,3399.43,10496.3129,35766645.788871,85804,6239.2143,21265417.556441,3407.79,-2.5
3399.37,3401.25,3308.87,3319.26,36738.9652,122700901.727515,199325,16420.6489,54780794.862014,3355.06,-80.10999999999967
3319.26,3367.94,3317.63,3358.93,21722.4794,72697215.62801,124591,10980.0181,36764251.467671,3342.785,39.66999999999962
