close,high,low,ema_5,open,ma_5,ema_10,ma_10,ma_20,lower_band,upper_band,rsi_14,taker_buy_quote_asset_volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume
104686.15,104805.22,104469.89,104634.01377286603,104582.28,104966.13799999999,104279.5988269861,104182.88399999999,103498.4635,101498.80728778678,105498.11971221321,67.05526543942293,29623269.7718141,68111433.6924547,176590,283.05988
105028.0,105064.0,104482.46,104765.34251524403,104686.15,104882.74799999999,104415.67176753408,104360.389,103636.6465,101614.24569349337,105659.04730650663,73.18800524424287,39895584.1006104,81943633.5422784,156481,380.54175
105149.98,105373.76,104956.0,104893.5550101627,105028.01,104806.34599999999,104549.18235525514,104560.90400000001,103780.1455,101755.77564865086,105804.51535134914,71.47406636799633,50742588.254682,102124805.7990196,153743,482.49641
104992.79,105420.76,104900.0,104926.63334010847,105149.98,104887.84,104629.83829066329,104774.277,103896.213,101873.3076553862,105919.1183446138,68.93012336527077,33993444.9563682,71517442.6705388,139665,323.13158
104535.44,105016.85,104505.22,104796.23556007232,104992.79,104878.472,104612.67496508814,104900.089,103975.658,101985.24963945958,105966.06636054041,62.685890253274245,27428198.9993764,74735050.955794,181289,261.78683
104676.72,104942.48,104500.46,104756.39704004824,104535.44,104876.58599999998,104624.31951689029,104921.36200000001,104070.2615,102139.23029058971,106001.29270941028,63.331054952652416,36458035.7795018,80347891.9457243,197656,348.17808
104684.99,104722.1,104350.01,104732.5946933655,104676.73,104807.984,104635.35051381933,104845.366,104154.7925,102274.72385145641,106034.86114854358,64.69562230447491,44915165.4620301,103835431.40685,175314,429.52933
103757.99,104836.36,103625.78,104407.72646224368,104684.98,104529.586,104475.83042039763,104667.966,104207.49149999999,102443.1210439089,105971.86195609107,57.64210404611117,56505224.038388,156096269.8684255,262551,542.27718
103656.02,104145.9,103333.0,104157.1576414958,103758.0,104262.232,104326.77398032532,104575.03600000001,104233.9385,102522.69963298898,105945.17736701103,53.4024301275305,78828475.4146393,161526689.5290715,365813,759.31327
103908.02,104138.99,103484.51,104074.11176099721,103656.02,104136.748,104250.63689299344,104507.61,104271.1395,102626.794557849,105915.484442151,43.99661373466157,74034037.9618799,130561966.2623863,281981,712.75697
105487.0,106000.0,103879.25,104545.07450733148,103908.03,104298.804,104475.43018517645,104587.69499999999,104385.2895,102735.89985437549,106034.67914562451,50.40212374890831,175362048.3479043,317973512.2647936,581614,1669.21489
106332.01,106499.99,105253.46,105140.71967155433,105487.01,104628.20800000001,104812.990151508,104718.09599999999,104539.24250000001,102764.81557087178,106313.66942912823,56.68191218181032,180070272.4271796,366169058.66692,771080,1697.2562
106824.95,107195.58,106140.0,105702.12978103623,106332.0,105241.6,105178.80103305199,104885.593,104723.2485,102800.60145972327,106645.89554027673,70.23982735465155,185351319.53837332,344115642.74388456,717643,1736.812838
107078.55,107195.0,106693.26,106160.93652069083,106824.94,105926.106,105524.20993613344,105094.169,104934.223,102947.914236361,106920.531763639,71.58174672200428,107068941.8149243,221991155.78690156,430635,1001.0104
107078.6,107793.07,106882.47,106466.82434712723,107078.55,106560.222,105806.8263113819,105348.48500000002,105124.28699999998,103078.94334949098,107169.63065050899,71.06226461270172,161973498.1041234,366922297.7475199,422891,1508.421996
106583.12,107078.61,105797.41,106505.5895647515,107078.6,106779.446,105947.97061840337,105539.125,105230.24350000001,103110.7121924723,107349.77480752772,63.33013320531296,156038527.3362873,348474555.5444403,504363,1467.97832
105808.36,106648.48,105762.56,106273.17970983434,106583.13,106674.71599999999,105922.58686960275,105651.46200000001,105248.41399999999,103114.94743410169,107381.88056589829,55.075487058028074,103537426.2821686,201913869.2134074,392756,974.94422
106057.77,106274.9,105688.93,106201.3764732229,105808.36,106521.28,105947.16562058406,105881.43999999999,105274.70300000001,103113.74329124397,107435.66270875605,58.094890621899815,55931204.9765002,93277750.1497386,218774,528.03755
105815.99,106301.59,105721.39,106072.91431548193,106057.78,106268.768,105923.31550775058,106097.43699999999,105336.2365,103187.88031754192,107484.59268245808,60.06321384730853,35384055.6087196,65815557.2376023,124002,333.66772
106058.66,106064.0,105480.02,106068.16287698798,105816.0,106064.78,105947.92359725047,106312.501,105410.05549999999,103269.33386682195,107550.77713317802,60.68964343616799,41345949.2778128,79976877.6119052,212059,390.81983
