open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,average_price,price_change
91884.0,92473.32,91530.45,92130.21,3228.93941,296676266.5433473,420663,1673.29796,153743905.7322839,92001.88500000001,246.2100000000064
92130.21,92227.17,91800.0,92120.6,1185.04222,109040804.8388163,233106,492.40956,45308432.5878718,92013.58499999999,-9.610000000000582
92120.6,94200.0,91980.53,93832.83,2087.38638,194654226.18642431,344573,1173.997,109475799.072837,93090.265,1712.229999999996
93832.82,94684.09,93570.0,94583.99,1962.74282,185200942.23188487,351899,1086.22623,102491275.3524616,94127.045,751.1699999999983
94583.98,94622.75,93939.29,94417.04,895.80875,84471541.1838231,239964,422.00481,39795548.8735295,94281.01999999999,-166.94000000000233
94417.04,95024.5,94296.75,94338.8,1146.04057,108456476.8938935,246732,578.14243,54726004.4744663,94660.625,-78.23999999999069
94338.8,94376.3,91901.57,92076.0,2274.79849,211271520.0489982,354189,993.18308,92146489.8625738,93138.935,-2262.800000000003
92076.0,93027.69,91948.0,92784.75,1170.61959,108315452.2424237,236729,584.5595,54083881.843881,92487.845,708.75
92784.76,92893.4,92389.28,92792.05,578.50584,53598923.8400998,122800,305.40359,28298810.4275501,92641.34,7.290000000008149
92792.05,92907.03,92375.15,92450.0,584.04771,54103943.143722,133434,264.48323,24502834.7647403,92641.09,-342.0500000000029
92450.0,92575.76,92033.73,92435.57,1243.12207,114774414.8415203,151952,507.94721,46926680.3408525,92304.745,-14.429999999993015
92435.73,92702.43,92303.21,92476.35,413.58133,38264123.1045048,99385,238.82245,22094799.5211964,92502.82,40.620000000009895
92476.35,92654.74,92250.0,92509.59,432.51551,39985914.0765359,90054,230.28429,21289411.808082,92452.37,33.23999999999069
92509.6,92832.29,92344.07,92448.0,508.87389,47100257.2725682,85367,278.26459,25765387.8895587,92588.18,-61.60000000000582
92448.0,92750.0,92357.71,92596.08,330.97028,30647340.7207132,79274,184.65228,17098736.506923,92553.85500000001,148.08000000000175
92596.08,93040.1,92568.5,92816.0,585.69313,54360813.5789386,93884,332.36645,30849305.7188028,92804.3,219.91999999999825
92816.0,92910.03,92770.0,92860.75,485.23565,45059075.3090525,61503,282.11043,26197557.4775072,92840.015,44.75
92860.75,94741.68,92842.88,93933.38,1778.41415,167169340.2237929,244054,941.08234,88408019.6240611,93792.28,1072.6300000000047
93933.38,94151.52,93831.24,94023.88,694.62156,65301423.4750504,147893,300.98977,28293834.5592559,93991.38,90.5
94023.88,94271.29,93664.06,94113.69,715.16946,67193684.1198094,116464,340.33247,31977579.9130587,93967.67499999999,89.80999999999767
94113.69,94285.12,93984.0,94232.68,540.22294,50849923.3931171,67142,197.44897,18588065.3380386,94134.56,118.98999999999069
94232.68,94958.85,94232.67,94539.85,1252.18005,118512699.0527501,126463,714.61465,67637027.7267029,94595.76000000001,307.1700000000128
94539.86,96054.79,94524.43,95587.12,1803.50187,172283206.8427356,222966,1065.18485,101745000.3845371,95289.60999999999,1047.2599999999948
95587.12,96250.0,95372.35,95679.17,1504.33717,143984672.6946324,265490,681.05537,65204009.4460287,95811.175,92.05000000000291
95679.17,95982.62,94909.12,95412.0,1362.37354,130045158.2476669,299740,580.5123,55428476.6991045,95445.87,-267.16999999999825
95412.0,95590.52,94606.4,94868.42,1042.48497,99031477.9636168,187801,405.26425,38507453.1895136,95098.45999999999,-543.5800000000017
94868.41,95047.71,93189.59,94120.94,1332.40373,125255037.0170004,272735,635.20796,59716688.082163,94118.65,-747.4700000000012
94120.92,94416.72,93779.8,93875.68,816.81017,76860739.0854811,190573,399.45216,37599040.5574008,94098.26000000001,-245.24000000000524
93875.69,94290.91,93712.45,94166.88,462.79342,43506347.5750805,104273,253.35809,23818117.2703003,94001.68,291.1900000000023
94166.88,94222.5,93450.17,93564.04,733.04147,68753543.8972381,117956,344.26486,32282849.014595,93836.33499999999,-602.8400000000111
93564.01,93964.15,93504.67,93899.68,337.52715,31630123.2501504,68192,170.68198,15994494.2786128,93734.41,335.66999999999825
93899.67,93899.67,93375.58,93488.84,315.53272,29553641.2813655,53117,162.17454,15190852.5440756,93637.625,-410.83000000000175
93488.83,93756.0,93375.38,93576.0,336.57995,31491901.7556609,68135,177.41226,16600098.9502905,93565.69,87.16999999999825
93576.0,94509.42,93489.03,94401.14,755.9901,71068810.5594638,93525,421.08319,39596777.7799259,93999.225,825.1399999999994
94401.13,94408.72,93578.77,93607.74,586.53456,55096606.9066008,79943,257.42023,24187938.3258632,93993.745,-793.3899999999994
93607.74,94105.12,93594.56,94098.91,276.78045,25974090.6358094,55078,185.35204,17393770.432248,93849.84,491.16999999999825
94098.9,94098.91,93728.22,93838.04,220.99302,20748041.0064055,35001,119.9214,11258665.1827,93913.565,-260.8600000000006
93838.04,93838.04,93500.0,93553.91,279.46909,26179056.1251495,38597,132.98547,12460624.7647896,93669.01999999999,-284.1299999999901
93553.91,93937.19,93547.4,93792.02,209.1794,19610790.8523179,33839,123.21818,11551575.0281896,93742.295,238.11000000000058
93792.02,93792.02,93568.38,93757.58,272.27846,25503575.8672839,30066,165.90563,15539305.3926565,93680.20000000001,-34.44000000000233
93757.57,93800.0,93664.08,93684.1,197.93458,18551648.8651105,22891,70.38945,6597697.4125302,93732.04000000001,-73.47000000000116
93684.11,93756.02,93304.0,93428.46,481.71173,45055029.9823446,51464,162.13835,15164799.9686353,93530.01000000001,-255.64999999999418
93428.47,93486.29,92888.0,93413.06,798.49773,74409822.919041,93479,404.55111,37715564.8440389,93187.14499999999,-15.410000000003492
93413.07,93536.75,93284.0,93326.23,265.55192,24807034.6658149,49313,118.86289,11103987.671291,93410.375,-86.84000000001106
93326.24,93705.08,93200.0,93444.64,321.72225,30064365.1355826,58142,186.91506,17468842.1876151,93452.54000000001,118.39999999999418
93444.65,93972.0,93407.07,93820.76,499.35613,46801447.5816958,58928,342.365,32089241.734418,93689.535,376.1100000000006
93820.75,94058.79,93600.28,94031.76,340.36387,31931359.7016377,64479,197.44439,18528035.5237668,93829.535,211.00999999999476
94031.77,94450.85,93671.48,94175.89,751.90697,70772885.8998215,124282,412.93164,38871686.9331352,94061.16500000001,144.11999999999534
94175.89,94500.0,93900.0,94432.94,486.08395,45796540.6762383,77490,234.7582,22120189.2259643,94200.0,257.0500000000029
94432.94,94492.0,93922.0,94090.49,580.27384,54656651.5247761,87522,287.2075,27055176.3014384,94207.0,-342.4499999999971
94090.5,94189.16,93760.93,94143.85,303.86795,28553055.2011611,61419,151.00514,14189597.1400878,93975.045,53.35000000000582
94143.84,94380.44,93936.44,94340.06,291.78831,27491847.5828695,54037,161.74273,15240534.6694761,94158.44,196.22000000000116
94340.06,94823.75,94148.34,94627.07,545.12372,51502887.1875352,85002,269.56099,25473062.4220005,94486.045,287.0100000000093
94627.08,94852.7,94579.83,94786.23,424.42468,40210106.4870766,59241,191.94445,18186262.4516747,94716.265,159.14999999999418
